variant,prompt,response
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Solemates
2. AdaptaStep Footwear
3. VersaFit Shoes
4. AllFit Sneakers
5. FlexiGlide Footgear"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptaFit Footwear
3. Universal Fit Shoes
4. FlexiFit Footwear
5. VersaFit Shoes"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFlex Shoes
2. Universal Fit Sneakers
3. AdaptX Fit Shoes
4. FlexiFit Footwear
5. VersaFit Sneakers"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Flex Shoes
2. Adapt-a-Fit Sneakers
3. CustomFit Comfy Shoes
4. VersaFit All Size Footwear
5. FlexiFit Universal Walking Shoes"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFlex Shoes
2. VersaFit Footwear
3. AdaptaSoles
4. FitMate Shoes
5. FlexiFit Footwear"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiShoes, FitFlex, OmniFit Shoes, CustomFit Soles."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit Shoes, OmniFlex Sneakers, FitAdapt Footwear, FlexiFit Shoes."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit Shoes, FitFlex Footwear, OmniFoot Shoes,
SizeFlex Shoes."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit, OmniStep, SizeFlex, OmniGlide."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiSole, OmniFit Footwear, AllSizeShoe, VersaFit
Sneaker"
